similarity,name_a,type_a,mentions_a,entity_key_a,name_b,type_b,mentions_b,entity_key_b,recommendation,reason
0.9706,EU Digital Markets Act,Regulation,1,eu-digital-markets-act,European Union Digital Markets Act,Regulation,1,european-union-digital-markets-act,MERGE,"Same act, full name vs abbreviated name"
0.969,ASU 2023-09,Regulation,3,asu-2023-09,ASU 2023-07,Regulation,2,asu-2023-07,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.9673,Deferred tax assets,Metric,1,deferred-tax-assets,Deferred tax asset,Metric,1,deferred-tax-asset,MERGE,"Same concept, plural vs singular"
0.9659,ASU 2023-07,Regulation,2,asu-2023-07,ASU 2024-03,Regulation,1,asu-2024-03,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.9632,iPhone 16,Product,1,iphone-16,iPhone 16e,Product,1,iphone-16e,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.9604,ASU 2025-06,Regulation,1,asu-2025-06,ASU 2025-01,Regulation,1,asu-2025-01,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.9531,ASU 2023-07,Regulation,2,asu-2023-07,ASU 2025-01,Regulation,1,asu-2025-01,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.9492,U.S. Securities and Exchange Commission,Regulation,4,u-s-securities-and-exchange-commission,Securities and Exchange Commission,Regulation,7,securities-and-exchange-commission,MERGE,"Same regulator, with/without U.S. prefix"
0.9474,ASU 2023-09,Regulation,3,asu-2023-09,ASU 2024-03,Regulation,1,asu-2024-03,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.9463,ASU 2024-03,Regulation,1,asu-2024-03,ASU 2025-01,Regulation,1,asu-2025-01,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.946,Net Income 2023,Metric,1,net-income-2023,Net Income 2022,Metric,1,net-income-2022,DON'T MERGE,"Different fiscal year - distinct metric values, not the same fact"
0.9448,ASU 2023-07,Regulation,2,asu-2023-07,ASU 2025-06,Regulation,1,asu-2025-06,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.9408,ASU 2023-09,Regulation,3,asu-2023-09,ASU 2025-01,Regulation,1,asu-2025-01,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.9371,ASU 2025-06,Regulation,1,asu-2025-06,ASU 2024-03,Regulation,1,asu-2024-03,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.9332,U.S. Department of Justice,Regulation,2,u-s-department-of-justice,Department of Justice,Other,1,department-of-justice,MERGE,"Same agency, with/without U.S. prefix"
